Refs,datasheet,footprint,mouser#,part#,value
C1,,Capacitors_THT:C_Rect_L10.0mm_W4.0mm_P7.50mm_FKS3_FKP3,80-SMR5104J50J0116 ,SMR5104J50J01L16.5CBULK ,100nF
"C9, C10",,Capacitors_THT:CP_Radial_D12.5mm_P5.00mm, 647-UKZ1H330MPM , UKZ1H330MPM ,33uF
"C2, C6",,Capacitors_THT:C_Rect_L10.0mm_W4.0mm_P7.50mm_FKS3_FKP3,80-SMR5224J50J0216 ,SMR5224J50J02L16.5CBULK ,220nF
"C3-C5, C7, C8",,Capacitors_THT:C_Rect_L10.0mm_W4.0mm_P7.50mm_FKS3_FKP3,80-SMR5104J50J0116 ,SMR5104J50J01L16.5CBULK ,100nF
J1,,Connectors:BARREL_JACK, 490-RCJ-042 , RCJ-042 ,Audio-Jack-2
J2,,Connectors_Terminal_Blocks:TerminalBlock_Altech_AK300-3_P5.00mm,,,CONN_01X03
J3,,Connectors_Terminal_Blocks:TerminalBlock_Altech_AK300-2_P5.00mm,NA,NA,811582 DT-80H
J4,,Connectors_Terminal_Blocks:TerminalBlock_Altech_AK300-2_P5.00mm,NA,NA,TF1225
L1,,Inductors_THT:L_Radial_D12.0mm_P5.00mm_Fastron_11P, 434-11PHC-701K , 11PHC-701K-50 ,0.7mH
"R1-R3, R5-R7",,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal, 594-5063JD1K910FT ,MBA02040C1911FRP00,1K9
R10,,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal, 594-5063JD5R110F ,MBA02040C5118FRP00,5.11r
"R4, R8",,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal, 594-5063JD3K900F , MBA02040C3901FRP00 ,3K9
R9,,Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,594-5063JD6R800F5 ,MBA02040C6808FCT00,6.8R
U1,,Housings_DIP:DIP-14_W7.62mm_LongPads, 595-TL074CN ,TL074CN,TL074
